rnti,frame,slot,dci,rb_alloc,mcs,rv_idx1,harq_process
18161,206,12,1_1,0x65,26,0,3
18161,206,13,1_1,0x190,27,0,4
18161,206,14,1_1,0x3fc,27,0,5
18161,208,15,0_1,0x30,24,0,0
18161,209,11,0_1,0x62,24,0,0
18161,210,5,1_1,0x32,27,0,0
18161,210,7,1_1,0x33,26,0,1
18161,212,15,0_1,0x2,24,0,0
18161,242,7,1_1,0x32,26,0,0
18161,284,15,0_1,0x62,23,0,0
18161,285,6,1_1,0x32,27,0,0
18161,285,7,1_1,0x33,26,0,1
18161,286,15,0_1,0x62,22,0,0
18161,287,6,1_1,0x0,27,0,0
18161,287,7,1_1,0x64,26,0,1
18161,287,10,1_1,0x32,27,0,2
18161,287,12,1_1,0x65,27,0,3
18161,287,13,1_1,0xff,27,0,4
18161,287,14,1_1,0x41a,27,0,5
18161,288,15,0_1,0x42,23,0,0
18161,289,6,1_1,0x32,27,0,0
18161,289,7,1_1,0x64,26,0,1
18161,290,15,0_1,0x2,24,0,0
18161,292,10,1_1,0x0,27,0,0
18161,294,15,0_1,0x2,24,0,0
18161,295,6,1_1,0x32,27,0,0
18161,295,7,1_1,0x33,26,0,1
18161,296,15,0_1,0x2,25,0,0
18161,297,11,0_1,0x30,25,1,0
18161,298,5,0_1,0x2,25,0,0
18161,299,1,0_1,0x30,25,1,0
18161,299,15,1_1,0x32,27,0,0
18161,299,17,1_1,0x33,26,0,1
18161,300,1,1_1,0x0,26,0,2
18161,300,6,1_1,0x65,27,0,0
18161,300,7,1_1,0x65,27,0,3
18161,300,10,1_1,0x190,27,0,4
18161,300,15,0_1,0x2,24,0,0
18161,301,11,0_1,0x62,25,0,0
18161,302,5,1_1,0x32,27,0,0
18161,302,7,1_1,0x64,26,0,1
18161,304,15,0_1,0x2,25,0,0
18161,305,11,0_1,0x2,25,1,0
18161,342,11,1_1,0x32,26,0,0
18161,342,15,0_1,0x30,25,0,0
18161,343,6,1_1,0x32,27,0,0
18161,343,7,1_1,0x64,26,0,1
18161,344,15,0_1,0x2,26,0,0
18161,345,11,0_1,0x30,26,0,0
18161,346,5,1_1,0x32,27,0,0
18161,346,7,1_1,0x64,26,0,1
18161,346,10,1_1,0x0,27,0,2
18161,346,12,1_1,0x65,26,0,3
18161,346,13,1_1,0x190,27,0,4
18161,346,14,1_1,0x41a,27,0,5
