rnti,frame,slot,dci,rb_alloc,mcs,rv_idx1,harq_process
19754,242,10,1_1,0x190,27,0,0
19754,242,15,0_1,0x42,23,0,0
19754,243,3,1_1,0x190,27,0,1
19754,243,17,1_1,0x3c9,27,0,0
19754,244,11,1_1,0x190,26,0,1
19754,244,15,0_1,0x62,22,0,0
19754,245,5,1_1,0x190,27,0,0
19754,246,1,1_1,0x165,27,0,0
19754,246,15,0_1,0x30,24,0,0
19754,246,15,1_1,0x165,27,0,0
19754,247,10,1_1,0x165,27,0,0
19754,248,6,1_1,0x165,27,0,0
19754,248,15,0_1,0x42,21,0,0
19754,248,17,1_1,0x3e8,27,0,1
19754,249,13,1_1,0x165,27,0,0
19754,250,7,1_1,0x3e8,27,0,0
19754,250,15,0_1,0x42,22,0,0
19754,251,1,1_1,0x190,27,0,1
19754,251,15,1_1,0x190,27,0,0
19754,252,10,1_1,0x165,27,0,0
19754,252,15,0_1,0x62,23,0,0
19754,253,5,1_1,0x165,27,0,0
19754,254,1,1_1,0x165,27,0,0
19754,254,13,1_1,0x165,27,0,1
19754,254,15,0_1,0x62,21,0,0
19754,255,7,1_1,0x3c9,27,0,0
19754,256,1,1_1,0x190,26,0,1
19754,256,15,0_1,0x42,21,0,0
19754,256,17,1_1,0x3c9,27,0,0
19754,257,11,1_1,0x165,27,0,1
19754,258,5,1_1,0x165,27,0,0
19754,258,15,0_1,0x30,24,0,0
19754,259,0,1_1,0x165,27,0,0
19754,259,13,1_1,0x190,27,0,1
19754,260,10,1_1,0x190,27,0,0
19754,260,15,0_1,0x62,21,0,0
19754,261,3,1_1,0x165,27,0,1
19754,261,17,1_1,0x3e8,27,0,0
19754,262,11,1_1,0x190,26,0,1
19754,262,15,0_1,0x62,21,0,0
19754,263,5,1_1,0x190,27,0,0
19754,264,1,1_1,0x190,26,0,0
19754,264,13,1_1,0x32,27,0,1
19754,264,15,0_1,0x62,21,0,0
19754,264,15,1_1,0x165,27,0,0
19754,265,10,1_1,0x165,27,0,0
19754,266,3,1_1,0x165,27,0,1
19754,266,15,0_1,0x62,23,0,0
19754,266,17,1_1,0x3c9,27,0,0
19754,267,13,1_1,0x165,27,0,1
19754,268,7,1_1,0x3c9,27,0,0
19754,268,15,0_1,0x62,21,0,0
19754,269,1,1_1,0x190,27,0,1
19754,269,15,1_1,0x165,27,0,0
19754,270,10,1_1,0x190,27,0,0
19754,270,15,0_1,0x42,21,0,0
19754,271,5,1_1,0x190,27,0,0
19754,272,1,1_1,0x190,26,0,0
19754,272,13,1_1,0x165,27,0,1
19754,272,15,0_1,0x42,23,0,0
19754,273,7,1_1,0x3c9,27,0,0
19754,274,1,1_1,0x190,27,0,1
19754,274,15,0_1,0x2,24,0,0
19754,274,17,1_1,0x3e8,27,0,0
19754,275,11,1_1,0x165,27,0,1
19754,276,6,1_1,0x165,27,0,0
19754,276,15,0_1,0x62,23,0,0
19754,277,0,1_1,0x165,27,0,1
19754,277,13,1_1,0x165,27,0,0
19754,278,10,1_1,0x165,27,0,0
19754,278,15,0_1,0x42,21,0,0
19754,279,3,1_1,0x190,27,0,1
19754,279,17,1_1,0x3e8,27,0,0
19754,280,11,1_1,0x165,26,0,1
19754,280,15,0_1,0x42,22,0,0
19754,281,5,1_1,0x190,27,0,0
19754,282,1,1_1,0x165,27,0,0
